threshold,events_upward,events_downward,non_events_upward,non_events_downward,total_events,total_non_events,NRI
0.005,3,0,443,55,21,1706,-0.08457544799866021
0.01,3,0,496,42,21,1706,-0.12326243510299784
0.02,1,12,9,339,21,1706,-0.33037458828783567
0.03,1,5,38,131,21,1706,-0.13596270864735108
0.04,1,2,50,82,21,1706,-0.028861720538156645
0.05,5,0,81,7,21,1706,0.19471891922067772
0.06,5,0,81,7,21,1706,0.19471891922067772
0.07,0,1,0,9,21,1706,-0.04234354937754703
0.08,0,1,0,9,21,1706,-0.04234354937754703
0.09,0,1,0,9,21,1706,-0.04234354937754703
0.1,0,1,0,5,21,1706,-0.0446882152626584
0.2,0,0,0,0,21,1706,0.0
0.3,0,0,0,0,21,1706,0.0
0.5,0,0,0,0,21,1706,0.0
